L	-0.1578	2.8872	1477010443000000	0.0000	2.7500	0.0000	1.0000
L	-0.3101	3.4646	1477010443800000	-0.0938	3.4924	-0.2334	0.9724
L	-0.4508	4.5254	1477010444600000	-0.3817	4.2365	-0.4679	0.8838
L	-0.8223	4.9413	1477010445400000	-0.8456	4.8857	-0.6730	0.7396
L	-1.5938	5.5174	1477010446200000	-1.4564	5.3991	-0.8358	0.5490
L	-2.0291	5.8472	1477010447000000	-2.1756	5.7445	-0.9461	0.3239
L	-2.9501	5.7489	1477010447800000	-2.9582	5.9002	-0.9969	0.0785
L	-3.9382	5.6397	1477010448600000	-3.7549	5.8563	-0.9851	-0.1719
L	-4.4379	5.5128	1477010449400000	-4.5157	5.6157	-0.9114	-0.4115
L	-5.0092	5.3071	1477010450200000	-5.1927	5.1935	-0.7804	-0.6252
L	-5.7767	4.9441	1477010451000000	-5.7435	4.6162	-0.6004	-0.7997
L	-5.9172	3.8614	1477010451800000	-6.1333	3.9200	-0.3827	-0.9239
L	-6.2710	3.2614	1477010452600000	-6.3378	3.1487	-0.1409	-0.9900
L	-6.2653	2.1724	1477010453400000	-6.3441	2.3509	0.1097	-0.9940
L	-5.7900	1.9960	1477010454200000	-6.1518	1.5765	0.3535	-0.9355
L	-5.7663	1.0335	1477010455000000	-5.7729	0.8743	0.5750	-0.8182
L	-5.1035	0.3272	1477010455800000	-5.2312	0.2884	0.7604	-0.6495
L	-4.5318	-0.2211	1477010456600000	-4.5609	-0.1444	0.8980	-0.4400
L	-3.6788	-0.6217	1477010457400000	-3.8040	-0.3970	0.9792	-0.2028
L	-3.0730	-0.5184	1477010458200000	-3.0081	-0.4533	0.9989	0.0471
L	-2.5441	-0.4889	1477010459000000	-2.2232	-0.3100	0.9558	0.2940
L	-1.4214	-0.0345	1477010459800000	-1.4986	0.0241	0.8527	0.5225
L	-0.7259	0.3755	1477010460600000	-0.8798	0.5278	0.6959	0.7181
L	-0.4301	1.0659	1477010461400000	-0.4058	1.1697	0.4955	0.8686
L	-0.0031	1.7905	1477010462200000	-0.1062	1.9092	0.2639	0.9645
L	-0.0278	2.3494	1477010463000000	0.0000	2.7000	0.0157	0.9999
L	0.1964	3.6128	1477010463800000	0.0704	3.4949	0.2028	0.9792
L	0.3628	4.1900	1477010464600000	0.3348	4.2478	0.4400	0.8980
L	0.7694	4.8844	1477010465400000	0.7781	4.9112	0.6495	0.7604
L	1.5828	5.4297	1477010466200000	1.3724	5.4436	0.8182	0.5750
L	1.7057	5.9855	1477010467000000	2.0805	5.8114	0.9355	0.3534
L	2.6085	5.9794	1477010467800000	2.8578	5.9915	0.9940	0.1097
L	3.6834	5.9973	1477010468600000	3.6555	5.9727	0.9900	-0.1409
L	4.5901	5.9605	1477010469400000	4.4234	5.7562	0.9239	-0.3827
L	4.6866	5.5063	1477010470200000	5.1134	5.3554	0.7997	-0.6004
L	5.6584	5.1132	1477010471000000	5.6820	4.7956	0.6252	-0.7804
L	5.9737	4.1640	1477010471800000	6.0936	4.1121	0.4115	-0.9114
L	6.1093	3.5507	1477010472600000	6.3222	3.3476	0.1719	-0.9851
L	6.4500	2.5932	1477010473400000	6.3535	2.5503	-0.0785	-0.9969
L	6.0131	1.7509	1477010474200000	6.1856	1.7703	-0.3239	-0.9461
L	5.9932	1.1768	1477010475000000	5.8289	1.0565	-0.5490	-0.8358
L	5.2559	0.4084	1477010475800000	5.3060	0.4539	-0.7396	-0.6730
L	4.2908	-0.0439	1477010476600000	4.6496	0.0002	-0.8838	-0.4679
L	3.9664	-0.4774	1477010477400000	3.9010	-0.2759	-0.9724	-0.2334
L	3.5027	-0.5674	1477010478200000	3.1072	-0.3573	-0.9999	0.0157
L	2.1335	-0.2513	1477010479000000	2.3182	-0.2386	-0.9646	0.2639
L	1.4522	0.0823	1477010479800000	1.5835	0.0725	-0.8686	0.4955
L	0.8867	0.6608	1477010480600000	0.9492	0.5566	-0.7181	0.6959
L	0.7655	1.1053	1477010481400000	0.4552	1.1832	-0.5225	0.8526
L	0.0638	2.2021	1477010482200000	0.1326	1.9129	-0.2940	0.9558
L	-0.2319	2.4580	1477010483000000	0.0016	2.7000	-0.0471	0.9989
